,Blue,Green,Red,NIR,SWIR1,SWIR2
750,29,25,20,8,3,2
751,48,44,40,35,18,14
752,81,77,74,67,38,31
753,24,21,14,70,36,14
754,46,42,39,44,19,13
755,75,73,69,63,36,30
756,28,24,19,46,29,14
757,29,21,16,48,25,9
758,27,21,16,36,17,9
759,29,23,16,6,3,1
760,23,14,9,6,2,2
761,23,19,14,59,25,9
762,29,26,20,65,34,13
763,22,18,11,65,24,8
764,53,50,44,59,29,19
765,28,23,19,65,37,14
766,31,27,24,22,4,3
767,24,19,13,61,29,11
768,24,19,14,58,30,10
769,34,32,31,25,14,12
770,43,40,38,30,12,10
771,30,25,21,66,40,22
772,46,39,31,26,18,15
773,25,20,13,66,23,8
774,24,18,13,51,25,10
775,40,34,29,21,12,9
776,22,16,10,46,19,6
777,23,19,15,38,25,12
778,85,81,78,69,46,37
779,97,93,91,83,47,37
780,25,22,15,97,27,9
781,24,19,14,59,29,10
782,31,28,24,10,2,1
783,57,54,48,94,42,27
784,25,16,10,7,4,3
785,22,16,10,40,17,6
786,24,21,14,80,32,11
787,37,34,27,16,10,7
788,25,20,16,51,31,16
789,44,42,37,25,14,10
790,49,42,34,27,18,15
791,24,18,13,66,31,11
792,34,28,23,15,9,7
793,25,22,16,73,32,11
794,26,19,12,5,2,1
795,22,18,13,60,25,9
796,51,43,35,31,21,16
797,27,23,18,43,26,13
798,29,22,12,5,2,2
799,32,28,21,70,32,15
800,24,21,16,57,33,12
801,23,17,11,43,23,8
802,34,32,31,24,3,3
803,51,46,43,35,20,15
804,45,36,28,21,14,11
805,97,99,96,112,53,41
806,24,21,17,51,31,14
807,24,19,15,64,35,12
808,25,21,15,63,36,13
809,29,21,12,6,3,2
810,31,30,28,17,4,2
811,26,21,15,61,23,9
812,24,19,13,55,21,7
813,58,53,50,77,40,27
814,25,22,14,86,28,9
815,24,17,12,45,21,8
816,39,30,22,14,9,7
817,33,30,29,23,9,6
818,34,30,24,13,6,6
819,24,19,14,50,18,8
820,30,24,20,63,36,21
821,28,22,18,54,20,10
822,67,61,54,49,33,28
823,25,23,15,98,29,10
824,33,27,22,13,7,6
825,25,20,14,56,31,12
826,26,22,17,64,37,15
827,26,17,9,6,2,2
828,63,58,54,88,43,28
829,27,19,15,24,16,11
830,31,27,21,12,5,4
831,42,39,38,32,14,11
832,23,18,12,41,19,8
833,22,18,12,68,19,6
834,64,58,54,79,37,25
835,25,21,16,46,29,13
836,38,33,28,65,26,14
837,36,32,30,27,7,5
838,22,14,9,26,6,3
839,31,26,22,10,2,2
840,42,35,33,65,28,18
841,41,34,31,22,14,12
842,26,20,17,45,33,16
843,44,39,34,88,34,19
844,24,18,16,23,9,5
845,23,14,9,6,4,1
846,41,35,31,22,13,11
847,26,18,11,7,3,2
848,23,18,12,40,19,11
849,30,26,21,12,5,4
850,26,20,11,6,2,2
851,29,26,19,7,2,1
852,24,15,9,6,3,1
853,25,19,14,58,30,12
854,25,21,15,51,30,13
855,25,21,16,49,28,12
856,23,18,13,65,31,11
857,34,32,31,22,3,2
858,24,20,14,62,28,11
859,97,99,97,113,59,44
860,80,76,74,92,43,33
861,24,15,9,6,4,3
862,25,20,14,64,29,10
863,24,21,15,67,25,10
864,25,20,14,75,29,11
865,36,32,33,30,3,2
866,24,18,13,65,30,11
867,43,38,35,30,17,12
868,34,30,29,24,6,4
869,51,44,39,34,22,18
870,53,47,42,34,22,18
871,25,19,14,50,24,10
872,48,45,42,33,16,12
873,24,19,14,61,32,13
874,25,21,14,72,27,10
875,26,17,9,6,3,1
876,42,37,32,66,32,16
877,29,22,14,6,2,1
878,22,15,9,30,10,2
879,23,17,12,72,28,11
880,32,30,28,22,6,2
881,25,19,13,77,25,7
882,28,20,14,9,6,5
883,23,14,9,5,3,1
884,32,26,21,45,17,10
885,21,16,11,65,24,8
886,27,22,18,61,34,16
887,45,39,35,74,30,17
888,22,18,12,62,26,9
889,25,21,16,61,32,12
890,25,21,16,61,36,13
891,26,23,18,81,42,18
892,26,19,13,56,22,7
893,28,25,19,11,3,1
894,31,24,19,26,15,10
895,97,100,98,104,53,42
896,76,72,70,65,36,29
897,22,17,11,41,19,7
898,22,18,12,63,23,8
899,23,18,13,48,22,9
900,37,35,30,69,36,20
901,25,20,14,54,23,9
902,25,21,14,68,31,11
903,84,81,77,98,45,33
904,30,27,24,17,1,1
905,36,33,27,74,26,13
906,26,18,10,6,3,2
907,24,17,12,62,31,11
908,35,30,26,17,9,7
909,23,14,9,6,4,3
910,57,54,48,49,28,21
911,23,18,14,50,22,9
912,23,14,8,5,2,2
913,24,20,15,48,22,7
914,86,81,78,70,42,35
915,70,65,62,60,37,29
916,25,17,9,5,2,1
917,25,22,16,62,35,15
918,46,41,35,27,18,15
919,28,19,11,5,2,1
920,25,19,14,49,23,10
921,26,19,11,5,2,1
922,24,21,14,71,32,13
923,25,19,11,6,3,2
924,24,19,14,45,28,12
925,46,41,37,72,35,20
926,65,61,59,53,30,24
927,24,19,12,69,19,7
928,31,28,24,9,3,2
929,27,20,13,6,3,4
930,23,18,12,67,28,9
931,24,19,13,66,24,8
932,23,19,13,58,19,8
933,25,22,16,70,34,12
934,30,29,23,70,34,15
935,73,68,66,61,36,30
936,53,46,37,31,21,18
937,23,18,11,61,26,8
938,30,27,23,10,2,1
939,27,24,17,71,25,10
940,24,18,13,68,23,8
941,26,20,13,55,20,7
942,24,19,13,60,25,8
943,25,20,14,55,26,11
944,53,49,46,48,25,18
945,27,22,17,48,27,13
946,22,16,10,45,19,6
947,24,19,14,63,35,13
948,25,21,18,52,42,20
949,25,21,14,74,35,13
950,46,41,38,37,18,13
951,23,17,14,32,15,8
952,56,50,45,37,24,19
953,23,19,14,53,30,12
954,30,23,14,6,3,2
955,23,18,12,60,33,13
956,47,43,38,25,14,11
957,40,35,28,22,14,12
958,23,18,12,64,29,10
959,23,18,12,60,18,7
960,51,45,43,48,29,18
961,26,18,11,6,2,1
962,24,18,13,31,17,8
963,25,21,15,60,29,9
964,22,15,11,19,7,3
965,25,17,8,4,2,2
966,23,14,8,6,2,1
967,24,20,14,60,29,11
968,23,18,14,58,31,10
969,33,29,28,26,4,3
970,23,17,13,29,16,7
971,24,18,13,34,22,11
972,22,19,12,84,30,9
973,22,19,15,55,27,11
974,23,19,13,56,32,11
975,64,59,56,79,42,30
976,24,19,13,56,29,11
977,35,30,26,21,10,7
978,25,19,14,64,28,12
979,23,18,15,31,19,10
980,86,82,79,73,45,36
981,82,78,74,67,38,32
982,26,21,15,68,32,12
983,42,36,31,24,14,10
984,25,20,15,56,28,12
985,44,41,37,30,18,13
986,29,23,19,60,34,14
987,24,21,14,81,26,8
988,24,14,8,6,2,2
989,34,33,31,24,3,2
990,25,20,14,62,25,9
991,25,19,14,61,27,10
992,21,15,10,41,18,6
993,24,20,13,73,31,10
994,26,22,16,61,35,17
995,38,33,29,28,14,9
